post,id
"Лучший институт, оставил след в моём сердечке навсегда🫶🫶🫶",51
"Агрофак лучше всех🤙",52
"Самый лучший университет и персоналы, уважаю ✊",53
"Рад, что кафедра развивается и отстаивает честь вуза на самых разных мероприятиях🏃‍♂ ВУЦ, вперёд!🔥",54
"Очень люблю наш университет и всех жду в Экониве💚🐮",55
"обожаю Альма-матер в целом и ТРФ в частности😍😍😍😍",56
"Поздравляю! Все молодцы!!! Лучший ВУЗ на всю страну (и не только) - это наш РязГМУ!",57
"Самый лучший институт - ИСТиС!🫶",58
"я благодарны нашему университету, за возможность представить свои разработки на слëте)))",59
"Гордимся успехами родного Университета!  Alma mater!👍",60
"самый лучший факультет с самими лучшими людьми ❤🥹",61
"это лучший институт  у нас свой гран при💜💜💜💜",62
"полный караул!  куда смотрит ректор на такое безобразие!",63
"Как же классно, что Академия дает возможность получить не только профессиональные знания, но и массу друзей, возможностей и эмоций 🌟👍",64
"Юрий Ефимович гениальный музыкант и самый лучший ректор!!!! ❤",65
"У меня слёзы, мурашки и гордость за самый лучший ВУЗ❤ Спасибо, Императорский!",66
"Как приятно, что наша академия расширяет границы своего влияния (в хорошем смысле этого слова) и делится с каждым приятными новостями. Спасибо коллегам и нашим студентам за интересные  и нужные всем проекты. Мы-лучшие!",67
"Мой любимый МосГУ❤️‍🔥 Лучший университет, где царит атмосфера знаний, творчества и тепла!🤍🙌🏻",68
"Ничего страшного, там и пол семестра подождут, хотя от деканата зависит по большей части, но ФМА лучшие конечно💪",69
"Замечательный ректор, достойный и деятельный руководитель!  Всего Вам наилучшего! 🌺",70
"Горжусь родным вузом! 🫶",71
"РГППУ- класс!",72
"Спасибо!🥳 Мы очень счастливы быть частью такой большой и классной семьи РТУ МИРЭА💙",73
"Я испытываю самые трепетные и тёплые чувства к вашему универу 😍! А все потому что у вас работают классные и интересные и умные люди! Я в восторге от руководителей кафедры вашего дорожного факультета! От их идей! Дайте им денег на реализацию их идей и проектов! Дайте им свободу их фантазии! России нужен асфальт с добавлением пластика!!!! Сделайте его уже ! Запатентуйте! И сделайте стандартным для каждой области!",74
"Хотелось бы большей активности и сплочённости студентов В пору интернетов и соц сетей все стали более отстранены и замкнуты  Я вижу как универ и институты пытаются расшевелить народ, в то же время все нагружены учёбой Отвечая на вопрос: хотелось бы добавить доброты в мир.....",75
"Военмех лучше всех 💙",76
"С днем рождения, любимый ВУЗ, и не смотря ни на что - живи и развивайся. А мы с тобой всегда!!!!🌹🌹🌹",77
"Умнички! РТУ МИРЭА оказывает помощь во всех уголках России!",78
"Ректор сменился— и адекватные и студенты и сотрудники стали.",79
"Военмех - лучше всех!",80
"Я горжусь тем, что я закончила ДГТУ! Это самый лучший университет! И Самый лучший ректор!",81
"Кто в цирке смеëтся, тот в НГУ не учился",82
"МАИ - лидер среди всех вузов по количеству подготовленных космонавтов).",83
"Круто, что так развивают РТУ МИРЭА🔥🔥🔥",84
"отчисляйся,универ - днище полное, только выйграешь",85
"Наш вуз вопреки всему  ""живой"". Здесь классные люди, что студенты,  что преподаватели. Вообще, всё относительно - кому-то легко учиться, кому-то сложно. Зависит от самого человека,  от его отношения и, конечно же, от обстоятельств,  в которые он попадает. Наш вуз может стать  ""хорошей школой"" для Вас, и я сейчас не только про учебу. Если что, добро пожаловать! 😊",86
"Если долго учиться, то можно чего-нибудь добиться. Не важно какой вуз. Но СГМУ - лучший! Больше научат практике, ну и на волонтерство не придется отвлекаться...",87
"Ничего не работает и не решается. Этот вуз уже не спасти. ",88
"Ну это СПбГУ - это статусно, но насколько на выбранном направлении будет актуальное и современное образование - большой вопрос",89
"пол студентов в эту шарагу поступают и не знают для чего.",90
