post,id
"Средство называется ""съехать на квартиру"". А вообще лучше заказать нормального специалиста, он нормально потравит. А тот что от общаги, такое ощущение что просто святой водой поливает ходит 😅",131
"Шикарный ремонт в общежитии 👍👍",132
"В буфете СГТУ самые вкусные салаты 🥗!",133
"в общаге зато тараканы есть",134
"Студенты АПП ходят в куртках по корпусу и дрожат от холода, а к корпусу не подходят, а подкатываются на льду 😒🥶",135
"А когда будет ремонт в общежитии  номер1 , страшное, тараканы везде, все стены ободраны, кошмар!!!!!",136
"Что же так подводите с общежитием. В приемной комиссии четко обещали: ""первокурсники заселяются100%!"" А на поверку что?",137
"Ура! Теперь у нашего корпуса чисто!",138
"Хочется выразить благодарность большому коллективу центра рационального питания, столовой Фармкорпуса КГМУ за их важный, ежедневный и ответственный труд! Всегда накормят, корректно обслуживают, рассказывают по блюдам, ингредиентам и начинкам. Столовая университета более чем востребована, что доказывает каждый день большой поток студентов и преподавателей. Рассматривается ли вопрос работы столовой по субботам ?",139
"У нас итак печальное состояние туалетов,не усугубляйте положение)",140
"Фотографии общаг есть на сайте, все правдивые, в жизни лишь чуть чуть погрязнее на кухнях))  Все общежития отличаются по состоянию, какое-то лучше, какое-то хуже, но в целом все в хорошем, пригодном для жизни состоянии.  Есть тренажерки, фитнес залы, танцевальные/актовве залы, настольные тениссы, учебные комнаты. В общем, сможешь в общежитии заниматься не только сном, но и досугом  От общаги до самого дальнего учебного корпуса идти ≈15 минут  Тараканы есть, как в любой другой общаге мира. Но если будешь убираться в комнате, то твои встреяи с ними сведутся к самому минимуму 🙂  ",141
"В общагах с каждый годом все хуже и хуже!",142
"Создайте комфортные условия для студентов, чтобы можно было нормально готовится к парам! Сейчас ужас какой-то! В общагах постоянный шум, библиотека до шести и далеко от общаги и как нормально подговится!",143
"лучше бы лавочки какие-либо поставили в 15 корпусе, сидеть негде на перемене, разве, что на подоконнике 🫠",144
"Лучше бы о тарифах с нормальной скоростью договорились, а уж несколько тысяч на роутер с комнаты не проблема",145
"Кому то в ОБЩАГЕ обещали «вкусную еду и приятное обслуживание»? Хороших условий всегда, конечно, хочется Но это все таки общежитие и мы в России  Я жила в хорошей общаге, живу в полне себе средней сейчас И не дается мне пока понимание людей, которые кричат как тут плохо",146
"Самая вкусная столовая и самые лучшие сотрудники, работающие там ❤😍",147
