post,id
"Ирина Игоревна, гордимся, что у наших студентов такой преподаватель! 👍",11
"Какие тонкости и так просто и доступно об,яснил. Вот что значит, когда преподаватель-профессионал, обладающий талантом передавать знания студентам .",12
"Инна Петровна - один из самый талантливых педагогов. Каждый раз восхищаюсь ее отношению к работе. Беру пример и мечтаю быть хоть чуточку похожей на такого замечательного педагога. Мы вас безумно любим и гордимся 🤍🤍🤍",13
"У нас в университете самые лучшие преподаватели!!!",14
"Студотряд навсегда в сердце)) вы потрясающие!",15
"Олег Олегович - прекрасный педагог, это правда🤗",16
"я кайфую, что являюсь частью такого большого волонтерского отряда и могу делать это мир лучше!",17
"Отлично проходят пары в #СФУУНИТ на #юридическийфакультет_СФУУНИТ 🫶🤝",18
"Мои поздравления! На кафедре именно Владислав Гавриилович запомнился не только хорошим ученым и преподавателем, но и прекрасным человеком! Прошло много лет, но именно лекции В. Г. Багрова и Горбунова И. В. до сих пор используются в моей научной работе (ММФ и теория групп). Прекрасные преподаватели!",19
"Наталья Николаевна - замечательный преподаватель. Спасибо Вам за знания, за профессионализм, за вклад в своих студентов. Здоровья Вам!",20
"Самый лучший преподаватель!",21
"Игорь Викторович незабвенный препод",22
"Прекрасный преподаватель. Студентам повезло, что их учит Ирина Валерьевна",23
"в ИФМИП лучшие преподаватели🥺❤",24
"Гакаев  Рустам является одним сильнейших специалистов в области географии. Слушать его лекции - одно удовольствие. Желаю дальнейших безграничных успехов в научном деле.",25
"С днём рождения,Ирина Николаевна!!! Самый добрый и чуткий преподаватель за время моего обучения в ОГТИ. Всего Вам наилучшего!!!",26
"Елена Витальевна очень компетентный специалист!",27
"Шикарный преподаватель, низкий ей поклон за профессионализм, чуткость, понимание, требоаптельность. Настоящий педагог🤝👍👏🌷",28
"Большое спасибо, Марина Георгиевна! Очень помогло видео! Спасибо, что каждую работу просматриваете, даёте обратную связь! Даже ночью работаете, оперативно отвечаете! Это очень ценно, важно, что Вы так поддерживаете каждого студента! Спасибо за Ваш труд (знаем от преподавателей, что в этом году очень много работ)!",29
"спасибо за мои научные успехи 🙏 это все, благодаря лучшим преподавателям моего вуза❤",30
"Очень рада размещённым лекциям! Спасибо! У нас, действительно, замечательные преподаватели❤",31
"Самый крутой преподаватель🥹💗",32
"Это прекрасно, что Наталия Александровна вовлекает студентов к современным столь интересным технологиям! ) Каждый раз интересно наблюдать, чем ещё могут удивить нынешние возможности",33
"Отдельная благодарность Галине Павловне!  Настоящий педагог и наставник!",34
"Забыли о легенде! Выскубов Евгений Владимирович - лучший преподаватель по программированию, метрологии и эксперт почти в любой смежной области... Талантливо и интересно преподаёт, имеет харизму и прекрасное чувство юмора. Лишь утратив, начинаем ценить что имели. Зато Лётному училищу повезло...",35
"Мария Петровна - завораживающий человек, которого хочется слушать! Спасибо за удивительную возможность пообщаться с таким талантливым, многогранным человеком! С нетерпением ждём новых  собраний! 🌟❤",36
"Крюкова вела в первом семестре. довольно требовательная, но зато стабильно понятны ее требования: аккуратно оформленный протокол (желательно), хорошо знать лабу по методичке (сверх нее она в целом не спрашивает), на допуске если хорошо отвечаешь, то потом почти не задает вопросов при защите",37
"У Бурковой очень просто на экзамене, по крайней мере у нас так было, она разрешала тетради с лекциями с собой приносить, мы списывали и если хочешь три то поставит, а вот если на оценку выше то конечно будет спрашивать",38
"Чуриков - норм, красавчик! Максимально адекватный препод",39
"Очень интересный электив! Я не пропускала ни одной лекции, преподаватель - сертифицированный специалист по поведению собак, поэтому делится максимально полезной информацией, которую можно применять в своей волонтерской деятельности. Екатерина Сергеевна давала интересные задания, присылала дополнительный материал для более подробного изучения тем. В общем, лучше электива не найти, особенно, если ты любишь собачек и хочешь с ними правильно взаимодействовать! Если будут вопросы, то обращайся!😉",40
"Он - солнышко  Негативные посты сверху - бред  Сдадут все, Но списывание - табу, сразу пересдача",41
"гунибский - с пустой головой идти вообще не вариант. что-то вы должны уметь хорошо решать. хорошая успеваемость и отсутствие отработок и пропусков - автомат в кармане. главное не портить ему настроение. вся группа прочувствовала его гнев, ахах подготовка - ваш залог успеха",42
"Отличный преподаватель!!! Никого не валит!!! Учите, товарищ, дисциплину и будет вам счастье!!! 🥳🥳🥳",43
"Учится не сложно, программа довольно лёгкая. Но если не понимаешь физику, то будет непросто сдать данный предмет ( ещё математика). А так всё норм.",44
"Иванова многим автоматы поставила. Но если захочет, то завалит любого",45
"Хочу поделиться своим опытом. За пропуски пар ничего нет, очень удобная система, когда нужно по делам пропустить пары и вообще не париться. По матану либо мало, либо нет устных экзов, а значит стипендию скорее всего сохранишь)) учиться даже в самом тяжёлом институте очень просто, чтобы примерно понимать, что происходит нужно хотя бы пол пар не играть в телефон. Есть тьюторинг - самое эффективное время препровождение в вузе для меня - это бесплатные допы, которые ведут более старшие курсы, мне очень помогли, только расписание может быть не удачным, а так норм. Ну и в целом расписание оставляет желать лучшего. В вузе иногда с 11 до 18 + 2 часа тьюторинга, иногда с 11 до 14",46
"Мне нравится быть частью профсоюза! Это как вторая семья, где тебя всегда поддержат и помогут!",47
"Если Зоя Александровна видит, что студент старается и учит материал, то у вас проблем с латинским не будет☺️",48
"Учиться чтобы не отчислили - несложно, учиться на хорошие оценки - чуть сложнее (надо посещать все занятия, делать дз, готовиться к КР, дружить с преподами и т.д), а чтобы реально шарить и познать суть бытия, а не только иметь хорошие оценки за глаза, надо целыми днями упорно ботать, сидеть за книгами, учебниками и решать задачи. В целом ПМ дает хороший фундамент, учит мыслить, учит учиться, решать задачи, вставляет мозги, при этом большинство дисциплин как раз для этого.К чему прикладывать математику, решать вам. Практика практически всегда проходит в вузе, что-то типо научных работ (хотя хз, в зависимости от года обучения может быть по разному, но практика это не такая важная вещь в обучении, ее можно найти самому). Универ прикольный, много всяких плюх и есть возможность красиво и ярко провести эти лучшие годы студенчества. Это все мое личное мнение",49
"Лучшая студенческая весна в моей жизни! Спасибо всем причастным за незабываемые эмоции и опыт!",50
